Orbit Start Time     Orbit Stop Time     External Fluence     Attenuated Fluence
yyyy:doy:hh:mm:ss   yyyy:doy:hh:mm:ss    (p/cm^2-sr-Mev)       (p/cm^2-sr-Mev)
--------------------------------------------------------------------------------
2000:270:17:44:01   2000:273:09:14:00    3.16110502213e+09    0.00000000000e+00
2000:273:09:14:00   2000:276:00:39:01    3.18869881669e+09    3.27178377681e+08
2000:276:00:39:01   2000:278:16:09:01    7.14286390989e+09    2.06621873649e+09
2000:278:16:09:01   2000:281:07:34:01    4.33042084956e+09    1.19819442248e+08
2000:281:07:34:01   2000:283:23:04:01    1.56730838836e+09    5.26039060421e+08
2000:283:23:04:01   2000:286:14:29:00    2.55690639108e+09    5.00995563210e+08
2000:286:14:29:00   2000:289:05:54:01    5.16525814818e+09    3.03119431677e+09
2000:289:05:54:01   2000:291:21:24:01    2.70020508412e+09    8.68828131075e+08
2000:291:21:24:01   2000:294:12:54:00    1.73707410047e+09    3.42135092281e+08
2000:294:12:54:00   2000:297:04:24:01    7.44126920752e+09    1.29573625080e+09
2000:297:04:24:01   2000:299:19:49:00    8.41085470548e+09    0.00000000000e+00
2000:299:19:49:00   2000:302:11:14:00    4.02962102733e+09    7.56673755198e+08
2000:302:11:14:00   2000:305:02:44:00    2.13589097733e+09    1.12811773863e+09
2000:305:02:44:00   2000:307:18:09:01    3.17945904261e+09    1.38323081191e+09
2000:307:18:09:01   2000:310:09:39:00    8.44650160888e+09    2.00294161008e+09
2000:310:09:39:00   2000:313:01:04:01    3.93011726496e+09    1.75914464480e+09
2000:313:01:04:01   2000:315:16:34:00    3.99772555101e+09    2.55918928942e+09
2000:315:16:34:00   2000:318:07:59:01    2.49744271037e+09    7.66413199402e+08
2000:318:07:59:01   2000:320:23:29:00    9.80420205313e+08    5.27345349884e+07
2000:320:23:29:00   2000:323:14:59:01    5.27384326106e+08    1.34292488627e+08
2000:323:14:59:01   2000:326:06:29:01    1.93510643894e+09    7.65775153846e+08
2000:326:06:29:01   2000:328:21:54:01    9.19495563817e+08    1.81350491801e+08
2000:328:21:54:01   2000:331:13:19:00    1.13867172137e+09    4.26657959416e+08
2000:331:13:19:00   2000:334:04:49:00    7.38997853692e+09    1.94883883857e+08
2000:334:04:49:00   2000:336:20:19:00    2.14066754279e+09    2.34030723611e+08
